molecule_chembl_id,canonical_smiles,standard_value
CHEMBL845,Clc1ccc2c(c1)N=C(N1CCNCC1)c1ccccc1N2,4466.84
CHEMBL41,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,1513.56
CHEMBL633,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,10000.0
CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,239883.29
CHEMBL1000,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,30199.52
CHEMBL657,CN(C)CCOC(c1ccccc1)c1ccccc1,26915.35
CHEMBL157101,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,1905.46
CHEMBL72,CNCCCN1c2ccccc2CCc2ccccc21,1513.56
CHEMBL3,CN1CCC[C@H]1c1cccnc1,245470.89
CHEMBL1741,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,58884.37
CHEMBL475534,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1,10000.0
CHEMBL1088,CN1CCCCC1CCN1c2ccccc2Sc2ccc([S+](C)[O-])cc21,323.59
CHEMBL96153,COc1ccc(C2CCN(CC[C@H]3CCOc4ccccc43)CC2)cc1OC,251.19
CHEMBL94664,COc1ccc(C2CCN(CCC3CCOc4ccccc43)CC2)cc1OC,199.53
CHEMBL2092889,CN1Cc2ccccc2[C@H](c2ccccc2)N=C1OCc1ccc(NS(C)(=O)=O)cc1.O=C(O)/C=C/C(=O)O,29000.0
CHEMBL1106,NC1=NCC2c3ccccc3Cc3ccccc3N12,100000.0
CHEMBL46,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,812.83
CHEMBL1294,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,323.59
CHEMBL715,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,181.97
CHEMBL2092890,CN1Cc2ccccc2[C@@H](c2ccc(F)cc2F)N=C1CCc1ccc(NS(C)(=O)=O)cc1.Cl,38000.0
CHEMBL652,O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,3890.45
CHEMBL1712,Cl.O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,120.23
CHEMBL368895,CN(C)CCCn1nc(C2=C(c3cn(-c4ccc5ccccc5c4)c4ccccc34)C(=O)NC2=O)c2ccccc21,28.0
CHEMBL180672,CC(C)(Cc1ccc2ccccc2c1)NC[C@@H](O)COc1cccc(Cl)c1C#N,194.0
CHEMBL537847,CN1CCN(CCCCN2C(=O)CN(/N=C/c3ccc(-c4ccc(Cl)cc4)o3)C2=O)CC1.Cl,562.34
CHEMBL298475,CN([C@H]1c2cc(OCCCC(F)(F)F)ccc2OC(C)(C)[C@@H]1O)S(C)(=O)=O,12600.0
CHEMBL532,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,39000.0
CHEMBL1264,CCCNCC(O)COc1ccc(O)cc1C(=O)CCc1ccccc1,40000.0
CHEMBL1365,NCC(O)COc1ccccc1C(=O)CCc1ccccc1,44000.0
CHEMBL16,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,240000.0
CHEMBL40,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,3000000.0
CHEMBL284348,Nc1ccncc1,4400000.0
CHEMBL129583,CS(=O)(=O)Nc1ccc2c(c1)C(=O)CC1(CCN(CCc3ccc4nonc4c3)CC1)O2,8.0
CHEMBL182977,CCCCCCCN(CC)CCCCc1ccc([N+](=O)[O-])cc1,10.0
CHEMBL182646,COc1ccc(CCN(C)CCCN(C(=O)c2ccc([N+](=O)[O-])cc2)c2ccc(OC)c(OC)c2)cc1OC,20.0
CHEMBL9484,CCCCCCC[N+](CC)(CC)CCCCc1ccc(Cl)cc1,150.0
CHEMBL362103,CCC[S+]([O-])CCCN(CC)CC(O)COc1ccc(C#N)cc1,250.0
CHEMBL363295,CC(CC(c1ccccc1)c1ccccc1)NC(C)(C)C,500.0
CHEMBL631,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,800.0
CHEMBL353985,COc1ccc(CCN(C)CCOc2ccc(NS(C)(=O)=O)cc2N)cc1OC,1000.0
CHEMBL511,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,1100.0
CHEMBL184412,CCCCc1oc2ccc(NS(C)(=O)=O)cc2c1C(=O)c1ccc(OCCCN(CCCC)CCCC)cc1,3000.0
CHEMBL184014,COc1ccc(CCNC(C)COc2c(C)cccc2C)cc1OC,6100.0
CHEMBL87045,c1ccc(C2(c3ccccc3)CC2C2=NCCN2)cc1,8800.0
CHEMBL360861,Cn1c(NCCN(CCO)CCCc2ccc([N+](=O)[O-])cc2)cc(=O)n(C)c1=O,10000.0
CHEMBL185434,CCN(CC)CC#CCOC(=O)[C@](O)(c1ccccc1)C1CCCCC1,12000.0
CHEMBL186873,COc1cc2c(cc1OC)C1Cc3ccc(OC)c(OC)c3C(Cc3ccccc3)N1CC2,14000.0
CHEMBL442717,COc1cc2c(cc1OC)[C@@H](Cc1ccc(Oc3cc(C[C@@H]4c5cc(OC)c(OC)cc5CCN4C)ccc3O)cc1)N(C)CC2,16000.0
CHEMBL1726,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-],23000.0
CHEMBL1097,CCN(CC)CCNC(=O)c1ccc(NC(C)=O)cc1,100000.0
CHEMBL448,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,22800000.0
CHEMBL362721,CN1Cc2ccccc2[C@@H](c2ccccc2)N=C1CCc1ccccc1,90.0
CHEMBL184461,COc1ccc(CCNCCCNC(=O)c2ccc([N+](=O)[O-])cc2)cc1OC,420.0
CHEMBL46516,O=C1NCN(c2ccccc2)C12CCN(CCCC(c1ccc(F)cc1)c1ccc(F)cc1)CC2,2300.0
CHEMBL76,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,2500.0
CHEMBL416956,OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1,2600.0
CHEMBL38827,CCCCN(CCCC)CC(O)c1cc(Cl)cc2c1-c1ccc(Cl)cc1/C2=C/c1ccc(Cl)cc1,8100.0
CHEMBL183418,CC(C)[C@@H](Oc1ccc(CNC(=O)[C@@H]2CCCN2C(=O)C(N)C2CCCCC2)cc1)C(=O)O.O=C(O)C(F)(F)F,90000.0
CHEMBL182223,NC(CC(=O)N1CCC[C@H]1C(=O)NCc1ccc(C(=O)O)cc1)Cc1ccc(F)c(F)c1.O=C(O)C(F)(F)F,79000.0
CHEMBL435882,NC(CC(=O)N1CCC[C@H]1C(=O)NCc1ccc(C(F)(F)F)cc1)Cc1ccccc1F.O=C(O)C(F)(F)F,870.0
CHEMBL364102,CC(C)[C@@H](Oc1ccc(CNC(=O)[C@@H]2CCCN2C(=O)CC(N)Cc2cc(F)ccc2F)cc1)C(=O)O.O=C(O)C(F)(F)F,76000.0
CHEMBL183289,CC(C)[C@@H](Oc1ccc(CNC(=O)[C@@H]2CCCN2C(=O)CC(N)Cc2c(F)c(F)c(F)c(F)c2F)cc1)C(=O)O.O=C(O)C(F)(F)F,100000.0
CHEMBL186482,COC(=O)Cc1ccc(CNC(=O)[C@@H]2CSCN2C(=O)CC(N)Cc2ccccc2F)cc1.O=C(O)C(F)(F)F,9700.0
CHEMBL186730,NCc1ccc(F)c(C2CCN(C(=O)c3cccc(-c4nc(-c5cccs5)no4)c3)CC2)c1,800.0
CHEMBL188068,NCc1ccc(F)c(C2CCN(C(=O)c3cc(C(=O)O)cc(-c4nc(-c5cccs5)no4)c3)CC2)c1,76800.0
CHEMBL362874,NCc1cccc(C2CCN(C(=O)c3cc(C(N)=O)cc(-c4nc(-c5cccs5)no4)c3)CC2)c1,30000.0
CHEMBL365062,NCc1ccc(F)c(C2CCN(C(=O)c3cc(C(N)=O)cc(-c4nc(-c5cccs5)no4)c3)CC2)c1,17100.0
CHEMBL195755,C[C@@H](c1ccc(-c2cccc(C(=O)O)c2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1.O=C(O)C(F)(F)F,100000.0
